index,mosque_name,district,google_maps_url,google_maps_score,latitude,longitude
1,HACI MEHMET KERSE MESCİDİ,ADALAR,https://www.google.com/maps/search/HACI%20MEHMET%20KERSE%20MESC%C4%B0D%C4%B0%20ADALAR%20%C4%B0stanbul,,40.9846455,28.6691176
2,ARNAVUTKÖY MERKEZ CAMİİ,ARNAVUTKÖY,https://www.google.com/maps/search/ARNAVUTK%C3%96Y%20MERKEZ%20CAM%C4%B0%C4%B0%20ARNAVUTK%C3%96Y%20%C4%B0stanbul,,41.182337,28.7419405
3,HADIMKÖY MERKEZ CAMİİ,ARNAVUTKÖY,https://www.google.com/maps/search/HADIMK%C3%96Y%20MERKEZ%20CAM%C4%B0%C4%B0%20ARNAVUTK%C3%96Y%20%C4%B0stanbul,,41.1574701,28.6218716
4,TAŞOLUK YEŞİL CAMİİ,ARNAVUTKÖY,https://www.google.com/maps/search/TA%C5%9EOLUK%20YE%C5%9E%C4%B0L%20CAM%C4%B0%C4%B0%20ARNAVUTK%C3%96Y%20%C4%B0stanbul,,40.9592055,29.252296
5,ABDULHAMİT HAN CAMİİ,ARNAVUTKÖY,https://www.google.com/maps/search/ABDULHAM%C4%B0T%20HAN%20CAM%C4%B0%C4%B0%20ARNAVUTK%C3%96Y%20%C4%B0stanbul,,41.0960136,28.9778049
6,İMRAHOR MH. HZ. ÖMER CAMİİ,ARNAVUTKÖY,https://www.google.com/maps/search/%C4%B0MRAHOR%20MH.%20HZ.%20%C3%96MER%20CAM%C4%B0%C4%B0%20ARNAVUTK%C3%96Y%20%C4%B0stanbul,,41.0662223,28.8574805
7,SELMAN-I FARİSİ CAMİİ,ATAŞEHİR,https://www.google.com/maps/search/SELMAN-I%20FAR%C4%B0S%C4%B0%20CAM%C4%B0%C4%B0%20ATA%C5%9EEH%C4%B0R%20%C4%B0stanbul,,40.9959407,29.098826
8,İMAM-I BUHARİ CAMİİ,ATAŞEHİR,https://www.google.com/maps/search/%C4%B0MAM-I%20BUHAR%C4%B0%20CAM%C4%B0%C4%B0%20ATA%C5%9EEH%C4%B0R%20%C4%B0stanbul,,40.9270957,29.2745094
9,FETİH CAMİİ,AVCILAR,https://www.google.com/maps/search/FET%C4%B0H%20CAM%C4%B0%C4%B0%20AVCILAR%20%C4%B0stanbul,,41.0055442,29.0751991
10,ABDURRAHİM ÇAĞIRICI CAMİİ,BAĞCILAR,https://www.google.com/maps/search/ABDURRAH%C4%B0M%20%C3%87A%C4%9EIRICI%20CAM%C4%B0%C4%B0%20BA%C4%9ECILAR%20%C4%B0stanbul,,41.0470433,28.8126278
11,ESMA HATUN KOCACIK CAMİİ,BAĞCILAR,https://www.google.com/maps/search/ESMA%20HATUN%20KOCACIK%20CAM%C4%B0%C4%B0%20BA%C4%9ECILAR%20%C4%B0stanbul,,41.0193594,28.9588589
12,MİMAR SİNAN CAMİİ,BAĞCILAR,https://www.google.com/maps/search/M%C4%B0MAR%20S%C4%B0NAN%20CAM%C4%B0%C4%B0%20BA%C4%9ECILAR%20%C4%B0stanbul,,41.374694,28.2054237
13,HACI KERİMOĞLU CAMİİ,BAĞCILAR,https://www.google.com/maps/search/HACI%20KER%C4%B0MO%C4%9ELU%20CAM%C4%B0%C4%B0%20BA%C4%9ECILAR%20%C4%B0stanbul,,41.026865,28.9467418
14,AKSAKAL MESCİDİ,BAĞCILAR,https://www.google.com/maps/search/AKSAKAL%20MESC%C4%B0D%C4%B0%20BA%C4%9ECILAR%20%C4%B0stanbul,,41.0939343,28.867943
